Ngành,Số dự án cấp mới,Vốn đăng ký cấp mới (triệu USD),Số lượt dự án điều chỉnh,Vốn đăng ký điều chỉnh (triệu USD),Số lượt góp vốn mua cổ phần,"Giá trị góp vốn, mua cổ phần (triệu USD)",Năm
"Công nghiệp chế biến, chế tạo",871.9322840454279,8500.472270513661,709.8749999999999,6137.879999999997,298.711799283449,2350.1812499999996,2024
"Công nghiệp chế biến, chế tạo",871.9322840454279,8500.36814105938,709.8749999999999,6137.879999999997,237.88557787497857,2350.1812499999996,2025
"Sản xuất, phân phối điện, khí, nước, điều hòa",13.999999999999998,3267.96625,5.749999999999998,37.7472292500533,10.412559497659826,53.40733248475476,2023
"Sản xuất, phân phối điện, khí, nước, điều hòa",13.999999999999998,3267.96625,5.749999999999998,20.14211642714277,6.3777291348415215,31.703269569157953,2024
"Sản xuất, phân phối điện, khí, nước, điều hòa",13.999999999999998,3267.96625,5.749999999999998,10.747937324803827,3.9063814162644634,18.81946269571887,2025
Hoạt động kinh doanh bất động sản,67.75562077523959,2142.02375,34.39768767110616,0.0,147.87499999999997,1149.6937499999997,2023
Hoạt động kinh doanh bất động sản,69.34721183519173,2142.02375,32.36096002009965,0.0,147.87499999999997,1149.6937499999997,2024
Hoạt động kinh doanh bất động sản,69.34721183519173,2142.02375,30.766893282484865,0.0,147.87499999999997,1149.6937499999997,2025
Xây dựng,62.667141663384335,275.9198274169068,33.49999999999999,96.38874999999997,55.956615099794725,369.7620677869316,2023
Xây dựng,91.36572569878261,401.4410028469016,33.49999999999999,96.38874999999997,40.66419186268279,626.3371549850713,2024
Xây dựng,91.36572569878261,374.1578903315991,33.49999999999999,96.38874999999997,29.551045875381114,646.7817094838967,2025
"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy",632.6249999999999,397.86714450549056,142.0043860463023,241.89249999999996,1661.738564527519,295.54602165166665,2023
"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy",632.6249999999999,471.7736491692909,130.7978262064082,241.89249999999996,1884.9066756614889,221.2167935016523,2024
"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy",632.6249999999999,471.7736491692909,130.7978262064082,241.89249999999996,1963.6890485011384,165.5812162642816,2025
"Nông nghiêp, lâm nghiệp và thủy sản",15.302055208246186,90.10999999999999,12.499999999999998,45.786249999999995,24.374999999999996,18.413749999999997,2023
"Nông nghiêp, lâm nghiệp và thủy sản",12.324960584871805,90.10999999999999,12.499999999999998,45.786249999999995,24.374999999999996,18.413749999999997,2024
"Nông nghiêp, lâm nghiệp và thủy sản",15.420532505381509,90.10999999999999,12.499999999999998,45.786249999999995,24.374999999999996,18.413749999999997,2025
"Hoạt động chuyên môn, khoa học công nghệ",336.49999999999994,266.34374999999994,99.3240372682619,174.39001533802622,528.2948344450411,765.6899999999998,2023
"Hoạt động chuyên môn, khoa học công nghệ",336.49999999999994,266.34374999999994,94.47876901245152,173.12775662102808,462.84482935541206,765.6899999999998,2024
"Hoạt động chuyên môn, khoa học công nghệ",336.49999999999994,266.34374999999994,90.96217890940108,173.9406569273299,405.50337064355017,765.6899999999998,2025
Vận tải kho bãi,71.24999999999999,278.0949999999999,19.29713710768264,56.06716981910433,134.74999999999997,167.83999999999995,2023
